54,0,0,0,3,0,0,0,2,0,4,2,6,1,0,0,6,0,1,0,3,2,8,0,15,0,0,9,3
0,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,3,0,4,0,1,0,0,3,0
0,1,34,0,0,0,0,0,0,0,10,0,3,0,0,1,1,0,0,0,5,0,3,0,3,0,1,0,0
0,0,0,25,0,1,0,2,1,0,2,1,0,1,0,0,0,0,1,1,2,0,0,0,3,0,0,1,0
3,2,0,0,60,0,0,0,0,0,2,0,2,1,0,0,3,0,1,2,11,0,1,0,1,2,3,3,1
0,0,0,0,0,16,0,0,2,0,0,2,1,0,0,0,2,0,1,0,2,0,0,3,0,1,1,0,1
0,0,0,0,0,0,39,5,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,1,0
0,0,0,3,0,0,4,32,0,0,0,3,0,1,0,0,2,0,0,0,1,0,2,2,0,0,0,2,0
0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,1,0
0,0,0,1,3,0,0,0,0,47,1,0,1,0,0,0,0,1,0,0,0,0,0,0,5,1,1,0,0
9,3,11,3,4,0,2,4,1,0,121,11,6,0,0,3,2,3,3,3,10,0,5,2,10,2,9,13,6
2,0,0,0,0,0,3,1,0,0,12,71,1,0,0,2,5,0,1,4,1,0,6,2,2,0,0,6,2
9,0,0,0,4,0,0,0,0,3,7,0,84,0,0,0,8,0,1,1,8,0,0,0,7,0,2,4,2
0,0,1,2,1,0,0,0,2,0,1,1,0,19,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,1,0,0,0,1,2,0,2,0,0,1,4
0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,13,0,1,0,0,0,0,0,0,0,0,1,0,0
5,4,0,1,3,0,0,3,3,1,14,6,6,1,0,0,36,4,3,5,3,2,6,0,13,1,1,13,4
2,0,1,0,3,0,1,1,0,1,4,0,0,0,0,0,4,58,0,0,4,0,3,1,9,0,4,0,0
5,0,0,1,1,0,1,0,0,0,3,1,0,2,0,0,4,0,24,0,2,5,1,0,0,0,0,1,0
0,0,2,0,6,2,2,0,0,0,2,6,8,0,0,0,14,2,1,61,3,0,1,6,16,1,1,1,2
4,2,7,3,6,0,0,0,1,0,8,2,6,1,2,0,2,1,2,1,61,1,2,1,13,0,2,8,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,5,1,1,15,5,0,0,0,0,1,0
1,4,3,2,2,0,0,2,2,0,8,2,3,0,2,0,4,2,2,2,1,4,71,2,2,0,4,1,1
0,0,0,0,1,1,0,2,0,0,0,5,0,0,0,0,4,1,2,3,1,0,0,42,1,0,2,0,5
11,0,2,4,3,0,0,0,3,5,15,0,15,0,4,0,14,5,1,4,17,0,4,1,244,3,6,6,0
0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,3,3,1,0,0,0,0,0,0,1,51,3,0,0
0,1,2,0,4,0,2,0,0,1,6,2,1,0,0,0,0,3,1,3,3,1,6,0,3,3,58,0,1
3,2,1,2,3,0,0,4,3,0,7,6,7,2,0,0,8,1,2,0,8,0,0,0,3,0,2,93,5
3,0,0,0,0,0,1,0,1,0,12,1,0,0,3,0,6,0,0,1,1,0,0,2,0,0,1,1,102
